name,death,n_matches
섬도기동인게이지,10.21,100
,8.99,100
구사자,8.854545454545455,55
주주97,8.770491803278688,61
유설영,8.67,100
Stained glass,8.58,100
Rrand soft,8.32,100
나쁜 뚱땡이,8.228571428571428,70
이친다,8.12280701754386,57
탑미는기계,8.118811881188119,101
작전명 슈퍼토스,8.117647058823529,51
군입대 기대된당,8.08955223880597,67
자유의검,8.089108910891088,101
셀럽트위티,8.06,100
SungJin94,8.017543859649123,57
케러빗,8.0,100
공 숙,7.98,100
어쩌라고맨,7.97,100
짭륙남,7.96078431372549,102
,7.95,100
청기올려빤스내려,7.93,100
정정당당,7.910891089108911,101
각잡고조지기,7.892857142857143,56
sirsir,7.873239436619718,71
냥젤리꼬순내,7.870967741935484,62
챱챱보징떡,7.87,100
과묵한보석칩,7.87,100
무빙로봇,7.848484848484849,99
2022년구월십육일,7.794117647058823,102
세트장인비니비니,7.737864077669903,103
민형이서폿갈래,7.734375,64
인 삐 S2 태 삐,7.714285714285714,77
AD만합니다람쥐,7.711538461538462,52
가렌다리말파,7.709090909090909,110
HJKOSLE,7.7,100
정민왕,7.7,100
크스수체,7.6911764705882355,68
친구야인성흘렸어,7.6716417910447765,67
REAL MADRID CF,7.619047619047619,105
빡치면샷건부터,7.6138613861386135,101
빵빵군 옥지양,7.61,100
임만돌,7.554455445544554,101
웨이보월즈우승,7.542857142857143,70
아산나부랭이,7.53921568627451,102
거뉴야,7.53,100
59940468del,7.524752475247524,101
시팅안해줌욕박음,7.52,100
릴리진박머로우,7.52,100
띠리띠리웅,7.5,106
Gamsaeg,7.5,100
