name,win,n_matches
타니쵸파,0.34545454545454546,55
랜덤소환사명,0.35,100
나 좀 보내주라,0.35353535353535354,99
민형이서폿갈래,0.359375,64
준영이자징빨아줘,0.36065573770491804,61
꾸겨진 감자,0.37,100
DODOKO,0.37,100
공주말들어야지,0.37,100
,0.37037037037037035,54
탑은승패와무상관,0.37142857142857144,70
우주최강짱,0.373134328358209,67
청기올려빤스내려,0.38,100
요네로 갈게,0.38,100
어쩌라고맨,0.38,100
0강동원0,0.38,100
유성럭스합니다,0.38181818181818183,55
저비상,0.38461538461538464,52
안녕그랩,0.38613861386138615,101
뜽후니카와이,0.38613861386138615,101
죤나빠른 물고기,0.3870967741935484,62
미나먹,0.3888888888888889,108
뽀삐 정글러,0.39,100
숙주모기,0.39,100
롤로노아 갱구,0.39,100
Rrand soft,0.39,100
얼린망고스틴,0.39080459770114945,87
바나나할짝,0.39215686274509803,51
추억의 라면보이,0.39603960396039606,101
YUAN 무,0.39603960396039606,101
FPX hong인비,0.39622641509433965,53
T1 OFA,0.4,100
리엔타,0.4,100
천도복숭아짱,0.4,100
빵 뜨,0.4,55
매무르기,0.4,60
너쿤이,0.4,75
난호태야,0.4,100
악마팡,0.4,100
 MagicalPhysical,0.4,100
천마산 누누,0.4,100
,0.4,70
,0.4,100
조재엉의,0.4,100
Geromo,0.4,100
보라군,0.4,100
제압킬먹었어일단,0.4,100
못참는병,0.40298507462686567,67
냥젤리꼬순내,0.4032258064516129,62
나용짱,0.40404040404040403,99
마이쮸 플러팅,0.40404040404040403,99
